CID	CanonicalSMILES	IUPACName	result	binding
76920294	CC1=C(C(=NN1)C)NC(=O)C(C)(C)C(=NO)N	3-amino-N-(3,5-dimethyl-1H-pyrazol-4-yl)-3-hydroxyimino-2,2-dimethylpropanamide	0	0
74066425	CCCCC(C(C(=O)NC1=NN=CC1)O)NC(=O)OCC2(CCC2)CC3=CC=C(C=C3)F	[1-[(4-fluorophenyl)methyl]cyclobutyl]methyl N-[2-hydroxy-1-oxo-1-(4H-pyrazol-3-ylamino)heptan-3-yl]carbamate	0	0
47134434	C1CC(OC1)CNC(=O)NCC(=O)NCC2=CC=CO2	N-(furan-2-ylmethyl)-2-(oxolan-2-ylmethylcarbamoylamino)acetamide	0	0
26416595	CC1=C(C=CC=C1[N+](=O)[O-])NC(=O)CNC2=CC=C(C=C2)F	2-(4-fluoroanilino)-N-(2-methyl-3-nitrophenyl)acetamide	0	0
97404038	C1CC2C(CCN2CC3=CSC=C3)OC1COCC4CCOCC4	(3aR,5R,7aR)-5-(oxan-4-ylmethoxymethyl)-1-(thiophen-3-ylmethyl)-3,3a,5,6,7,7a-hexahydro-2H-pyrano[3,2-b]pyrrole	0	0
25342569	CC1=C(C=CC(=C1)S(=O)(=O)NC2=CC=CC=C2C(=O)NNC(=O)C3=CC=CO3)F	4-fluoro-N-[2-[(furan-2-carbonylamino)carbamoyl]phenyl]-3-methylbenzenesulfonamide	0	0
47223041	CC(C)(C)NC(=O)CNC(=O)NC1=C(N=CC=C1)OC	N-tert-butyl-2-[(2-methoxypyridin-3-yl)carbamoylamino]acetamide	0	0
69282952	CC1=CC=C(C=C1)CNCCN2CCN(CC2)C(=O)CCCCC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F	6,6-bis(4-fluorophenyl)-1-[4-[2-[(4-methylphenyl)methylamino]ethyl]piperazin-1-yl]hexan-1-one	0	0
58131797	C1=CC=C(C=C1)C2=CC=C(C=C2)N3C4=CC5=C(C6=CC7=C(C=C6C(=C5C=C4C(=C3C8=CC=CC=C8)C9=CC=CC=C9)C1=CC=CC=C1)N(C(=C7C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1)C1=CC=CC=C1	2,7,8,12,17,18-hexakis-phenyl-6,16-bis(4-phenylphenyl)-6,16-diazapentacyclo[11.7.0.03,11.05,9.015,19]icosa-1(20),2,4,7,9,11,13,15(19),17-nonaene	0	0
109231656	CN(C1CCS(=O)(=O)C1)C2=CN=CC(=C2)C(=O)NCC3=CC=CC=C3	N-benzyl-5-[(1,1-dioxothiolan-3-yl)-methylamino]pyridine-3-carboxamide	0	0
87116206	CC1=CC(=C(C(=C1S(=O)(=O)N2CCN(CC2)CCOCC(=O)NCC3CCC(CC3)C(C4=CC(=CC=C4)F)N(C)C)C)C)OC	N-[[4-[dimethylamino-(3-fluorophenyl)methyl]cyclohexyl]methyl]-2-[2-[4-(4-methoxy-2,3,6-trimethylphenyl)sulfonylpiperazin-1-yl]ethoxy]acetamide	0	0
88861858	CC1(CO1)C(=O)C(CC2=CC=C(C=C2)CNC(=O)OC(C)(C)C)OC(=O)N	tert-butyl N-[[4-[2-carbamoyloxy-3-(2-methyloxiran-2-yl)-3-oxopropyl]phenyl]methyl]carbamate	0	0
38162509	CC1=C(C=C(C=C1)C(=O)NC(CC(=O)OC)C2=CC=C(C=C2)Cl)S(=O)(=O)N3CCOCC3	methyl (3R)-3-(4-chlorophenyl)-3-[(4-methyl-3-morpholin-4-ylsulfonylbenzoyl)amino]propanoate	0	0
7452580	CC1=CC=CC=C1N2C(=O)C(=CNC3=CC=C(C=C3)C(=O)[O-])C(=N2)C	4-[[(E)-[3-methyl-1-(2-methylphenyl)-5-oxopyrazol-4-ylidene]methyl]amino]benzoate	0	0
57279840	C=CCOC(=O)C1C(C(OC1=O)OCC2=CC=CC=C2)N	prop-2-enyl 4-amino-2-oxo-5-phenylmethoxyoxolane-3-carboxylate	0	0
9502657	CC(C(=O)NCC1=CC=CO1)SC2=NN=NN2C3CCCC3	(2S)-2-(1-cyclopentyltetrazol-5-yl)sulfanyl-N-(furan-2-ylmethyl)propanamide	0	0
32630185	CCC1=NC2=C(C=C(C=C2)C(=O)NCC(C3=CSC=C3)[NH+](C)C)N=C1CC	[(1S)-2-[(2,3-diethylquinoxaline-6-carbonyl)amino]-1-thiophen-3-ylethyl]-dimethylazanium	0	0
79849289	CC1(CCCC(C1O)CN(C)C2=CC(=CC=C2)OC)C	6-[(3-methoxy-N-methylanilino)methyl]-2,2-dimethylcyclohexan-1-ol	0	0
45222148	CC1=CC(=O)C(=C(N1CCN(C)C)CCC2=CC=CC=C2)C(=O)N3CC4CCC3C4	3-(2-azabicyclo[2.2.1]heptane-2-carbonyl)-1-[2-(dimethylamino)ethyl]-6-methyl-2-(2-phenylethyl)pyridin-4-one	0	0
61356727	C1CS(=O)(=O)CC1C(=O)NCCC2=CC=C(C=C2)O	N-[2-(4-hydroxyphenyl)ethyl]-1,1-dioxothiolane-3-carboxamide	0	0
108186748	CC1=CC(=CC(=C1C)S(=O)(=O)NC2=C(N=C(C=C2)Br)C)N	5-amino-N-(6-bromo-2-methylpyridin-3-yl)-2,3-dimethylbenzenesulfonamide	0	0
72191004	CC1=CN(C(=O)NC1=O)CC(=C(CO)CO)F	1-[2-fluoro-4-hydroxy-3-(hydroxymethyl)but-2-enyl]-5-methylpyrimidine-2,4-dione	0	0
70265036	CC(CCCC=CC1=NC=C(C=N1)C2=CC(=C(C=C2)OCC=C)F)O	7-[5-(3-fluoro-4-prop-2-enoxyphenyl)pyrimidin-2-yl]hept-6-en-2-ol	0	0
69727644	CC1=C(N(C(=O)C2=C1SC=C2)CC3=CC=C(C=C3)C(=O)O)C#CCC4=CC(=CC=C4)Br	4-[[6-[3-(3-bromophenyl)prop-1-ynyl]-7-methyl-4-oxothieno[3,2-c]pyridin-5-yl]methyl]benzoic acid	0	0
6277205	CC(=NNC(=O)C1=CC(=CC=C1)S(=O)(=O)NC2=CC=CC=C2Cl)CCC3=CC4=C(C=C3)OCO4	N-[(Z)-4-(1,3-benzodioxol-5-yl)butan-2-ylideneamino]-3-[(2-chlorophenyl)sulfamoyl]benzamide	0	0
58872105	CCCCC1C2=CC=CC=C2OC3=C(N1)C=C(C=C3)C(=O)NN4CCCCC4	6-butyl-N-piperidin-1-yl-5,6-dihydrobenzo[b][1,4]benzoxazepine-3-carboxamide	0	0
67700464	CCOC1=CC(=C(C=C1)NN)F	(4-ethoxy-2-fluorophenyl)hydrazine	0	0
4256815	CCC(C)C(C(=O)NCCC(C1=CC=CC=C1)C2=CC=CC=C2)N	2-amino-N-(3,3-diphenylpropyl)-3-methylpentanamide	0	0
127284715	CN1CCC(C1)CN(C)C(=O)C2CC(=O)N(C2)C3CCS(=O)(=O)C3	1-(1,1-dioxothiolan-3-yl)-N-methyl-N-[(1-methylpyrrolidin-3-yl)methyl]-5-oxopyrrolidine-3-carboxamide	0	0
33464096	CCN(CC(=O)NCC1=CC=C(C=C1)OC(F)(F)F)CC(=O)NC2=CC=CC=C2C(F)(F)F	2-[ethyl-[2-oxo-2-[2-(trifluoromethyl)anilino]ethyl]amino]-N-[[4-(trifluoromethoxy)phenyl]methyl]acetamide	0	0
38270005	CC1CCCC(C1C)NC(=O)NC(=O)C[NH+](C)CC(=O)N2CCCC2	[2-[[(1R,2R,3R)-2,3-dimethylcyclohexyl]carbamoylamino]-2-oxoethyl]-methyl-(2-oxo-2-pyrrolidin-1-ylethyl)azanium	0	0
95592478	CC1CC(CN(C1)C2=NN=C(N2CC3=CC=CO3)SCC(=O)C4=CC5=C(C=C4)OCC5)C	1-(2,3-dihydro-1-benzofuran-5-yl)-2-[[5-[(3R,5R)-3,5-dimethylpiperidin-1-yl]-4-(furan-2-ylmethyl)-1,2,4-triazol-3-yl]sulfanyl]ethanone	0	0
127674821	CN1C(=O)CCC2=C1C=CC(=C2)C(=O)NC3=NN=C(C=C3)C4CC4	N-(6-cyclopropylpyridazin-3-yl)-1-methyl-2-oxo-3,4-dihydroquinoline-6-carboxamide	0	0
6667947	CC(C)C1C(OC(=O)N1C(=O)C(C)C(C2=CC(=C(O2)CCCOCCO)Br)OC(=O)C)(C)C	[(1S,2S)-1-[4-bromo-5-[3-(2-hydroxyethoxy)propyl]furan-2-yl]-3-[(4S)-5,5-dimethyl-2-oxo-4-propan-2-yl-1,3-oxazolidin-3-yl]-2-methyl-3-oxopropyl] acetate	0	0
89254071	CCCSC1=NC2=C(C(=N1)NC3CC3C4=CC(=C(C=C4)C)F)N=NN2C5CC(C(C5O)O)OCCO	(1S,2S,3R,5S)-3-[7-[[(1R,3S)-2,2-dideuterio-3-(3-fluoro-4-methylphenyl)cyclopropyl]amino]-5-propylsulfanyltriazolo[4,5-d]pyrimidin-3-yl]-5-(1,1-dideuterio-2-hydroxyethoxy)cyclopentane-1,2-diol	0	0
57745910	CC1=C2C(=C(C=C1)C)SC(=C(C#N)C(=O)OC(C)C)S2	propan-2-yl 2-cyano-2-(4,7-dimethyl-1,3-benzodithiol-2-ylidene)acetate	0	0
6356417	C=C1C(C(N2C(=N1)N=CN2)C3=CC=CC=N3)C(=O)NC4=CC=C(C=C4)Cl	(6R,7S)-N-(4-chlorophenyl)-5-methylidene-7-pyridin-2-yl-6,7-dihydro-1H-[1,2,4]triazolo[1,5-a]pyrimidine-6-carboxamide	0	0
61813723	CC(C1=CC(=CC=C1)[N+](=O)[O-])NCCCCOC	4-methoxy-N-[1-(3-nitrophenyl)ethyl]butan-1-amine	0	0
115617401	CCNC(CCOCC)C1=C(C=CC(=C1)F)F	1-(2,5-difluorophenyl)-3-ethoxy-N-ethylpropan-1-amine	0	0
